source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[technical replicate]	comment[instrument]	comment[fraction identifier]	comment[cleavage agent details]	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[condition]
C1_Run1	metagenome	not applicable	not applicable	not applicable	1	Run1_C1_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_C1_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_C1_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Constant
C2_Run1	metagenome	not applicable	not applicable	not applicable	2	Run1_C2_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_C2_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_C2_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Constant
C3_Run1	metagenome	not applicable	not applicable	not applicable	3	Run1_C3_1952ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_C3_1952ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_C3_1952ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Constant
C4_Run1	metagenome	not applicable	not applicable	not applicable	4	Run1_C4_832ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_C4_832ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_C4_832ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Constant
P1_Run1	metagenome	not applicable	not applicable	not applicable	1	Run1_P1_96ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_P1_96ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_P1_96ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Protein
P2_Run1	metagenome	not applicable	not applicable	not applicable	2	Run1_P2_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_P2_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_P2_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Protein
P3_Run1	metagenome	not applicable	not applicable	not applicable	3	Run1_P3_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_P3_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_P3_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Protein
P4_Run1	metagenome	not applicable	not applicable	not applicable	4	Run1_P4_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_P4_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_P4_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Protein
U1_Run1	metagenome	not applicable	not applicable	not applicable	1	Run1_U1_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_U1_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_U1_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Uneven
U2_Run1	metagenome	not applicable	not applicable	not applicable	2	Run1_U2_2000ng	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	NT=Q Exactive Plus;AC=MS:1002634	1	NT=Trypsin	Run1_U2_2000ng.raw	/proj/proteoforma_nsc/users/x_nifab/datos_raw_run_1_2/Run1_U2_2000ng.raw	data-dependent acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	0.1 Da	10 ppm	Uneven
